\,NAME,NAICS2022,NAICS2022_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
Geographic identifier code,Geographic Area Name,2022 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPD3,51-75 Percent of employees worked from home two to four days per week,2022,13,3.1,29408,0.9,163,1.8,7330,2,23.6,0.7,0.5,0,6.8,0.1,3.7,0.1
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPD4,76-100 Percent of employees worked from home two to four days per week,2022,49,11.7,182303,5.9,777,8.6,29872,8.2,45.2,12.4,3.8,12.5,5.3,6.3,6.6,12.7
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPE0,0 Percent of employees worked from home five days per week,2022,11,2.6,436296,14,670,7.5,31660,8.7,4.7,0,4.9,0.6,4.3,0.3,4.6,0.3
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPE1,1-25 Percent of employees worked from home five days per week,2022,85,20.2,822433,26.4,2555,28.4,104195,28.6,13,16.4,0.6,23.6,1.9,25,1.6,28.5
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPE2,26-50 Percent of employees worked from home five days per week,2022,53,12.6,124751,4,596,6.6,33372,9.2,37.5,9.2,12.5,65,20.8,43.5,16.5,46.6
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPE3,51-75 Percent of employees worked from home five days per week,2022,7,1.7,60008,1.9,121,1.3,6996,1.9,26,1,7,2,15,1.8,10.8,1.5
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPE4,76-100 Percent of employees worked from home five days per week,2022,95,22.6,22225,0.7,110,1.2,6156,1.7,30.6,27.6,30.5,46.5,29.5,21.6,28.4,33.2
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPTR,Total reporting,2022,420,100,3115581,100,8986,100,364637,100,16.6,0,1.2,0,4.3,0,3.5,0
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPXX,Item not reported,2022,6,X,70678,X,330,X,13327,X,40.9,X,6.2,X,9.8,X,6.5,X
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPXY,Not applicable,2022,442,X,812233,X,3753,X,153914,X,13.1,X,10.8,X,16.5,X,17.3,X
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,A1,All firms,2022,1690,X,6135899,X,24038,X,974031,X,12.5,X,6,X,12,X,12.6,X
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETA1,Job or parts of job cannot be performed at home,2022,549,63.5,3483197,88.3,11229,87.3,452052,86,16.9,12.2,3.3,23,7.9,13,7.9,16.5
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETA2,Management of employees too costly or complicated,2022,45,5.2,950477,24.1,2448,19,113589,21.6,26.5,3.7,4.7,23.2,13,9.7,13.2,9.3
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETA3,Security (IT or other) concerns,2022,37,4.3,1056673,26.8,2571,20,104312,19.8,13.1,3.1,3.2,26.1,3.4,19.4,3.3,18.9
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETA4,Other reasons,2022,20,2.3,71713,1.8,130,1,10389,2,41.8,1.4,8.2,1.1,7.8,1,8,2.1
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETA5,No limiting factors,2022,298,34.5,453910,11.5,1596,12.4,71667,13.6,13.9,12.7,5.4,21.8,7.7,13.8,10.5,16.8
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETTR,Total reporting,2022,865,100,3946107,100,12866,100,525859,100,13,0,2.9,0,7,0,6.8,0
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B30,FACWHOME,ETXX,Item not reported,2022,2,X,52385,X,202,X,6018,X,107.7,X,6.9,X,11.4,X,7.5,X
